batting_team,over_number,ball_number,runs_scored,boundaries,dot_balls,wickets,extras,favored_team,win_percentage,batsman1_name,batsman1_runs,batsman1_balls_faced,batsman1_fours,batsman1_sixes,batsman2_name,batsman2_runs,batsman2_balls_faced,batsman2_fours,batsman2_sixes,bowler1_name,bowler1_overs_bowled,bowler1_maidens_bowled,bowler1_runs_conceded,bowler1_wickets_taken,bowler2_name,bowler2_overs_bowled,bowler2_maidens_bowled,bowler2_runs_conceded,bowler2_wickets_taken,venue,matches_played,average_runs_per_wicket,average_runs_per_over,batsman1_historical_average,batsman1_historical_strike_rate,batsman2_historical_average,batsman2_historical_strike_rate,bowler1_historical_average,bowler1_historical_economy,bowler1_historical_strike_rate,bowler2_historical_average,bowler2_historical_economy,bowler2_historical_strike_rate
CSK,20,,,,,,,CSK,100.0,,,,,,,,,,,,,,,,,,,,,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MI,1,1.1,7.0,1.0,2.0,0.0,0.0,MI,60.29,Quinton de Kock,9.0,8.0,1.0,0.0,Rohit Sharma,10.0,4.0,2.0,0.0,Sam Curran,1.0,0.0,7.0,0.0,Deepak Chahar,1.0,0.0,12.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,31.25,134.22,29.72,131.14,32.75,9.65,20.3,28.84,7.98,21.6
MI,2,2.1,8.0,1.0,2.0,0.0,0.0,MI,59.23,Quinton de Kock,16.0,11.0,2.0,0.0,Rohit Sharma,11.0,7.0,2.0,0.0,Deepak Chahar,2.0,0.0,20.0,0.0,Sam Curran,1.0,0.0,7.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,31.25,134.22,29.72,131.14,28.84,7.98,21.6,32.75,9.65,20.3
MI,3,3.1,18.0,3.0,0.0,0.0,2.0,MI,59.23,Quinton de Kock,31.0,16.0,5.0,0.0,Rohit Sharma,12.0,8.0,2.0,0.0,Lungi Ngidi,1.0,0.0,18.0,0.0,Deepak Chahar,2.0,0.0,20.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,31.25,134.22,29.72,131.14,17.92,8.29,12.9,28.84,7.98,21.6
MI,4,4.1,3.0,0.0,2.0,1.0,0.0,MI,70.21,Quinton de Kock,33.0,19.0,5.0,0.0,Suryakumar Yadav,1.0,1.0,0.0,0.0,Piyush Chawla,1.0,0.0,3.0,1.0,Lungi Ngidi,1.0,0.0,18.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,31.25,134.22,32.08,145.32,26.6,7.96,20.0,17.92,8.29,12.9
MI,5,5.1,3.0,0.0,3.0,1.0,0.0,MI,63.41,Suryakumar Yadav,1.0,2.0,0.0,0.0,Saurabh Tiwary,3.0,4.0,0.0,0.0,Sam Curran,2.0,0.0,10.0,1.0,Piyush Chawla,1.0,0.0,3.0,1.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,32.08,145.32,28.73,120.09,32.75,9.65,20.3,26.6,7.96,20.0
MI,6,6.1,9.0,1.0,0.0,0.0,0.0,MI,54.89,Saurabh Tiwary,6.0,7.0,0.0,0.0,Suryakumar Yadav,7.0,5.0,1.0,0.0,Ravindra Jadeja,1.0,0.0,9.0,0.0,Sam Curran,2.0,0.0,10.0,1.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,28.73,120.09,32.08,145.32,30.4,7.62,23.9,32.75,9.65,20.3
MI,7,7.1,8.0,1.0,1.0,0.0,0.0,MI,58.15,Suryakumar Yadav,13.0,8.0,2.0,0.0,Saurabh Tiwary,8.0,10.0,0.0,0.0,Sam Curran,3.0,0.0,18.0,1.0,Ravindra Jadeja,1.0,0.0,9.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,32.08,145.32,28.73,120.09,32.75,9.65,20.3,30.4,7.62,23.9
MI,8,8.1,15.0,2.0,0.0,0.0,0.0,MI,59.23,Suryakumar Yadav,15.0,10.0,2.0,0.0,Saurabh Tiwary,21.0,14.0,1.0,1.0,Ravindra Jadeja,2.0,0.0,24.0,0.0,Sam Curran,3.0,0.0,18.0,1.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,32.08,145.32,28.73,120.09,30.4,7.62,23.9,32.75,9.65,20.3
MI,9,9.1,3.0,0.0,4.0,0.0,1.0,MI,69.29,Suryakumar Yadav,16.0,13.0,2.0,0.0,Saurabh Tiwary,22.0,17.0,1.0,1.0,Piyush Chawla,2.0,0.0,6.0,1.0,Ravindra Jadeja,2.0,0.0,24.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,32.08,145.32,28.73,120.09,26.6,7.96,20.0,30.4,7.62,23.9
