over,batting_team,score,projected_score,CRR,RRR,fav,fav_probability,matches_played,total_runs,total_wickets,balls_bowled,average_runs_per_wicket,average_runs_per_over
20,CSK,166/5,,8.3,,CSK,100%,194,56401,2356,44406,23.93,7.62
1,MI,12/0,173,12.0,,MI,60.29%,194,56401,2356,44406,23.93,7.62
2,MI,19/0,172,9.5,,MI,59.23%,194,56401,2356,44406,23.93,7.62
3,MI,27/0,172,9.0,,MI,59.23%,194,56401,2356,44406,23.93,7.62
4,MI,45/0,183,11.25,,MI,70.21%,194,56401,2356,44406,23.93,7.62
5,MI,48/1,176,9.6,,MI,63.41%,194,56401,2356,44406,23.93,7.62
6,MI,51/2,168,8.5,,MI,54.89%,194,56401,2356,44406,23.93,7.62
7,MI,60/2,171,8.57,,MI,58.15%,194,56401,2356,44406,23.93,7.62
8,MI,68/2,172,8.5,,MI,59.23%,194,56401,2356,44406,23.93,7.62
9,MI,83/2,182,9.22,,MI,69.29%,194,56401,2356,44406,23.93,7.62
10,MI,86/2,174,8.6,,MI,61.34%,194,56401,2356,44406,23.93,7.62
11,MI,92/3,176,8.36,,MI,63.41%,194,56401,2356,44406,23.93,7.62
12,MI,105/3,181,8.75,,MI,68.35%,194,56401,2356,44406,23.93,7.62
13,MI,116/3,186,8.92,,MI,72.88%,194,56401,2356,44406,23.93,7.62
14,MI,121/3,180,8.64,,MI,67.39%,194,56401,2356,44406,23.93,7.62
15,MI,126/5,177,8.4,,MI,64.43%,194,56401,2356,44406,23.93,7.62
16,MI,136/5,177,8.5,,MI,64.43%,194,56401,2356,44406,23.93,7.62
17,MI,140/6,170,8.24,,MI,57.07%,194,56401,2356,44406,23.93,7.62
18,MI,151/6,171,8.39,,MI,58.15%,194,56401,2356,44406,23.93,7.62
19,MI,156/8,164,8.21,,MI,50.45%,194,56401,2356,44406,23.93,7.62
20,MI,162/9,162,8.1,,CSK,51.78%,194,56401,2356,44406,23.93,7.62
1,CSK,5/1,,5.0,8.32,MI,57.57%,194,56401,2356,44406,23.93,7.62
2,CSK,6/2,,3.0,8.72,MI,69.95%,194,56401,2356,44406,23.93,7.62
3,CSK,12/2,,4.0,8.88,MI,72.81%,194,56401,2356,44406,23.93,7.62
4,CSK,19/2,,4.75,9.0,MI,71.71%,194,56401,2356,44406,23.93,7.62
5,CSK,23/2,,4.6,9.33,MI,76.01%,194,56401,2356,44406,23.93,7.62
6,CSK,37/2,,6.17,9.0,MI,67.2%,194,56401,2356,44406,23.93,7.62
7,CSK,43/2,,6.14,9.23,MI,66.82%,194,56401,2356,44406,23.93,7.62
8,CSK,51/2,,6.38,9.33,MI,64.01%,194,56401,2356,44406,23.93,7.62
9,CSK,58/2,,6.44,9.55,MI,62.63%,194,56401,2356,44406,23.93,7.62
10,CSK,70/2,,7.0,9.3,MI,52.64%,194,56401,2356,44406,23.93,7.62
11,CSK,81/2,,7.36,9.11,CSK,56.38%,194,56401,2356,44406,23.93,7.62
12,CSK,88/2,,7.33,9.38,CSK,56.85%,194,56401,2356,44406,23.93,7.62
13,CSK,99/2,,7.62,9.14,CSK,68.85%,194,56401,2356,44406,23.93,7.62
14,CSK,105/2,,7.5,9.67,CSK,63.1%,194,56401,2356,44406,23.93,7.62
15,CSK,116/2,,7.73,9.4,CSK,78.41%,194,56401,2356,44406,23.93,7.62
16,CSK,121/3,,7.56,10.5,CSK,64.11%,194,56401,2356,44406,23.93,7.62
17,CSK,134/3,,7.88,9.67,CSK,76.95%,194,56401,2356,44406,23.93,7.62
18,CSK,147/4,,8.17,8.0,CSK,94.34%,194,56401,2356,44406,23.93,7.62
19,CSK,158/5,,8.32,5.0,CSK,98.2%,194,56401,2356,44406,23.93,7.62
