batting_team,over_number,ball_number,runs_scored,boundaries,dot_balls,wickets,extras,batsman1_name,batsman1_runs,batsman1_balls_faced,batsman1_fours,batsman1_sixes,batsman2_name,batsman2_runs,batsman2_balls_faced,batsman2_fours,batsman2_sixes,bowler1_name,bowler1_overs_bowled,bowler1_maidens_bowled,bowler1_runs_conceded,bowler1_wickets_taken,bowler2_name,bowler2_overs_bowled,bowler2_maidens_bowled,bowler2_runs_conceded,bowler2_wickets_taken
MI,19,19.1,6,0,1,1,0,Jasprit Bumrah,5,3,0,0,Rahul Chahar,2,4,0,0,Deepak Chahar,4.0,0,32,2,Lungi Ngidi,4.0,0,38,3
MI,18,18.1,5,1,2,2,0,Rahul Chahar,1,2,0,0,Trent Boult,0,0,0,0,Lungi Ngidi,4.0,0,38,3,Sam Curran,4.0,0,28,1
MI,17,17.1,11,2,1,0,1,Kieron Pollard,18,13,1,1,James Pattinson,7,5,1,0,Sam Curran,4.0,0,28,1,Lungi Ngidi,3.0,0,33,1
MI,16,16.1,4,0,1,1,0,James Pattinson,2,3,0,0,Kieron Pollard,13,9,0,1,Lungi Ngidi,3.0,0,33,1,Piyush Chawla,4.0,0,21,1
MI,15,15.1,10,1,2,0,0,Kieron Pollard,11,7,0,1,Krunal Pandya,3,2,0,0,Piyush Chawla,4.0,0,21,1,Ravindra Jadeja,4.0,0,42,2
MI,14,14.1,5,0,0,2,0,Krunal Pandya,2,1,0,0,Kieron Pollard,2,2,0,0,Ravindra Jadeja,4.0,0,42,2,Piyush Chawla,3.0,0,11,1
MI,13,13.1,5,0,2,0,0,Hardik Pandya,13,8,0,2,Saurabh Tiwary,42,30,3,1,Piyush Chawla,3.0,0,11,1,Lungi Ngidi,2.0,0,29,0
MI,12,12.1,11,2,2,0,0,Hardik Pandya,12,6,0,2,Saurabh Tiwary,38,26,3,1,Lungi Ngidi,2.0,0,29,0,Ravindra Jadeja,3.0,0,37,0
MI,11,11.1,13,2,3,0,0,Hardik Pandya,12,5,0,2,Saurabh Tiwary,27,21,1,1,Ravindra Jadeja,3.0,0,37,0,Deepak Chahar,3.0,0,26,1
MI,10,10.1,6,0,1,1,1,Saurabh Tiwary,26,20,1,1,,0,0,0,0,Deepak Chahar,3.0,0,26,1,Piyush Chawla,2.0,0,6,1
MI,9,9.1,3,0,4,0,1,Suryakumar Yadav,16,13,2,0,Saurabh Tiwary,22,17,1,1,Piyush Chawla,2.0,0,6,1,Ravindra Jadeja,2.0,0,24,0
MI,8,8.1,15,2,0,0,0,Suryakumar Yadav,15,10,2,0,Saurabh Tiwary,21,14,1,1,Ravindra Jadeja,2.0,0,24,0,Sam Curran,3.0,0,18,1
MI,7,7.1,8,1,1,0,0,Suryakumar Yadav,13,8,2,0,Saurabh Tiwary,8,10,0,0,Sam Curran,3.0,0,18,1,Ravindra Jadeja,1.0,0,9,0
MI,6,6.1,9,1,0,0,0,Saurabh Tiwary,6,7,0,0,Suryakumar Yadav,7,5,1,0,Ravindra Jadeja,1.0,0,9,0,Sam Curran,2.0,0,10,1
MI,5,5.1,3,0,3,1,0,Suryakumar Yadav,1,2,0,0,Saurabh Tiwary,3,4,0,0,Sam Curran,2.0,0,10,1,Piyush Chawla,1.0,0,3,1
MI,4,4.1,3,0,2,1,0,Quinton de Kock,33,19,5,0,Suryakumar Yadav,1,1,0,0,Piyush Chawla,1.0,0,3,1,Lungi Ngidi,1.0,0,18,0
MI,3,3.1,18,3,0,0,2,Quinton de Kock,31,16,5,0,Rohit Sharma,12,8,2,0,Lungi Ngidi,1.0,0,18,0,Deepak Chahar,2.0,0,20,0
MI,2,2.1,8,1,2,0,0,Quinton de Kock,16,11,2,0,Rohit Sharma,11,7,2,0,Deepak Chahar,2.0,0,20,0,Sam Curran,1.0,0,7,0
MI,1,1.1,7,1,2,0,0,Quinton de Kock,9,8,1,0,Rohit Sharma,10,4,2,0,Sam Curran,1.0,0,7,0,Deepak Chahar,1.0,0,12,0
MI,0,0.1,12,2,1,0,0,Quinton de Kock,7,4,1,0,Rohit Sharma,5,2,1,0,Deepak Chahar,1.0,0,12,0,,0,0,0,0
